input_shape: (64, 310)
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'10_20151014.mat, Accuracy: 0.6000000238418579, Loss: 0.9682831168174744
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'7_20150715.mat, Accuracy: 0.6000000238418579, Loss: 2.5129928588867188
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'8_20151103.mat, Accuracy: 0.6000000238418579, Loss: 2.0289697647094727
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 1'-'9_20151028.mat, Accuracy: 0.6000000238418579, Loss: 1.2309221029281616
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'10_20151021.mat, Accuracy: 0.4000000059604645, Loss: 1.098816156387329
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'11_20150921.mat, Accuracy: 0.4000000059604645, Loss: 1.6812210083007812
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'12_20150804.mat, Accuracy: 0.20000000298023224, Loss: 1.7895904779434204
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'13_20151125.mat, Accuracy: 0.20000000298023224, Loss: 2.177551507949829
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'14_20151208.mat, Accuracy: 0.20000000298023224, Loss: 1.7189579010009766
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'15_20150514.mat, Accuracy: 0.6000000238418579, Loss: 1.8264827728271484
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'1_20161125.mat, Accuracy: 0.20000000298023224, Loss: 1.4515304565429688
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'2_20150920.mat, Accuracy: 0.20000000298023224, Loss: 1.306081771850586
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'3_20151018.mat, Accuracy: 0.4000000059604645, Loss: 3.3411788940429688
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'4_20151118.mat, Accuracy: 0.4000000059604645, Loss: 2.4633126258850098
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'5_20160413.mat, Accuracy: 0.20000000298023224, Loss: 1.2789162397384644
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'6_20150511.mat, Accuracy: 0.4000000059604645, Loss: 2.297015428543091
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'7_20150717.mat, Accuracy: 0.4000000059604645, Loss: 2.3450844287872314
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'8_20151110.mat, Accuracy: 0.4000000059604645, Loss: 2.5295655727386475
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 2'-'9_20151119.mat, Accuracy: 0.4000000059604645, Loss: 2.7812161445617676
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'10_20151023.mat, Accuracy: 0.6000000238418579, Loss: 1.4783583879470825
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'11_20151011.mat, Accuracy: 0.20000000298023224, Loss: 1.2287712097167969
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'12_20150807.mat, Accuracy: 0.20000000298023224, Loss: 1.198978304862976
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'13_20161130.mat, Accuracy: 0.20000000298023224, Loss: 1.1425795555114746
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'14_20151215.mat, Accuracy: 0.20000000298023224, Loss: 1.1397247314453125
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'15_20150527.mat, Accuracy: 0.20000000298023224, Loss: 1.1528009176254272
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'1_20161126.mat, Accuracy: 0.20000000298023224, Loss: 1.1419721841812134
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'2_20151012.mat, Accuracy: 0.20000000298023224, Loss: 1.30340576171875
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'3_20151101.mat, Accuracy: 0.20000000298023224, Loss: 2.0104176998138428
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'4_20151123.mat, Accuracy: 0.20000000298023224, Loss: 1.105831503868103
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'5_20160420.mat, Accuracy: 0.20000000298023224, Loss: 1.0965458154678345
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'6_20150512.mat, Accuracy: 0.20000000298023224, Loss: 1.2779678106307983
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'7_20150721.mat, Accuracy: 0.20000000298023224, Loss: 1.2070990800857544
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'8_20151117.mat, Accuracy: 0.6000000238418579, Loss: 1.1749203205108643
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 310), File: 3'-'9_20151209.mat, Accuracy: 0.6000000238418579, Loss: 1.148049235343933
Average Test Accuracy CNN 1D : 0.40444445543819, Loss: 1.5479537308216096
