EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 1'-'10_20151014.mat, Accuracy: 0.20000000298023224, Loss: 4.522582530975342
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'11_20150921.mat, Accuracy: 0.6000000238418579, Loss: 2.6808621883392334
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'12_20150804.mat, Accuracy: 0.4000000059604645, Loss: 4.201705455780029
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'13_20151125.mat, Accuracy: 0.4000000059604645, Loss: 4.820598602294922
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'14_20151208.mat, Accuracy: 0.4000000059604645, Loss: 5.3320631980896
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'15_20150514.mat, Accuracy: 0.4000000059604645, Loss: 5.3115410804748535
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'1_20161125.mat, Accuracy: 0.6000000238418579, Loss: 5.328708171844482
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'2_20150920.mat, Accuracy: 0.6000000238418579, Loss: 5.0156145095825195
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'3_20151018.mat, Accuracy: 0.6000000238418579, Loss: 5.039220333099365
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'4_20151118.mat, Accuracy: 0.4000000059604645, Loss: 5.172875881195068
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'5_20160413.mat, Accuracy: 0.4000000059604645, Loss: 4.917426586151123
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'6_20150511.mat, Accuracy: 0.6000000238418579, Loss: 4.662880897521973
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'7_20150717.mat, Accuracy: 0.4000000059604645, Loss: 4.730698108673096
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'8_20151110.mat, Accuracy: 0.4000000059604645, Loss: 4.628791332244873
EEG Data Shape: (24, 62, 60, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 2'-'9_20151119.mat, Accuracy: 0.6000000238418579, Loss: 4.420152187347412
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'10_20151023.mat, Accuracy: 0.6000000238418579, Loss: 1.1784769296646118
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'11_20151011.mat, Accuracy: 0.4000000059604645, Loss: 2.4412682056427
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'12_20150807.mat, Accuracy: 0.4000000059604645, Loss: 4.111093521118164
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'13_20161130.mat, Accuracy: 0.4000000059604645, Loss: 5.316181659698486
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'14_20151215.mat, Accuracy: 0.4000000059604645, Loss: 6.201113224029541
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'15_20150527.mat, Accuracy: 0.4000000059604645, Loss: 6.4893670082092285
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'1_20161126.mat, Accuracy: 0.4000000059604645, Loss: 6.381405830383301
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'2_20151012.mat, Accuracy: 0.4000000059604645, Loss: 6.687809944152832
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'3_20151101.mat, Accuracy: 0.4000000059604645, Loss: 5.921638011932373
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'4_20151123.mat, Accuracy: 0.4000000059604645, Loss: 6.95619535446167
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'5_20160420.mat, Accuracy: 0.4000000059604645, Loss: 6.802735805511475
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'6_20150512.mat, Accuracy: 0.4000000059604645, Loss: 7.276731967926025
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'7_20150721.mat, Accuracy: 0.4000000059604645, Loss: 6.836169719696045
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'8_20151117.mat, Accuracy: 0.4000000059604645, Loss: 6.829862117767334
EEG Data Shape: (24, 62, 64, 5), Label Shape: (24,), EEG Data ReShape: (24, 64, 62, 5), File: 3'-'9_20151209.mat, Accuracy: 0.4000000059604645, Loss: 5.8888163566589355
Average Test Accuracy CNN 2D : 0.5111111236943139, Loss: 4.535216683811612
